id,district,ds_division,gn_division,address,disaster_type,affected_families,affected_people
74,Nuwara Eliya,Ambagamuwa Korale,Millagamula,"Millagahamulla, Pitawala",Landslide,1,4
75,Nuwara Eliya,Ambagamuwa Korale,Dagampitiya,"Dagampitiya, Pitawala",Landslide,1,4
76,Nuwara Eliya,Ambagamuwa Korale,Morahenagama,"Morahenagama, Pitawala",Landslide,1,5
77,Nuwara Eliya,Ambagamuwa Korale,Kalaweldeniya,"Kalaweldeniya, Ginigathhena",Landslide,1,4
78,Nuwara Eliya,Ambagamuwa Korale,Kalaweldeniya,"berdine 2, Widulipura",Landslide,1,8
79,Nuwara Eliya,Ambagamuwa Korale,Kehelwarawa,"Aditri morahenagama, Hatton",Landslide,1,5
80,Nuwara Eliya,Ambagamuwa Korale,Gonawala,"Madilla, Ginigathhena",Landslide,1,5
81,Nuwara Eliya,Ambagamuwa Korale,Habbakanda,"Koslallamula, Habbakanda, Ginigathhena",Landslide,1,4
82,Nuwara Eliya,Ambagamuwa Korale,Habbakanda,"Horakada, Ginigathhena",Landslide,1,4
83,Nuwara Eliya,Ambagamuwa Korale,Dagampitiya,"Kelanigama, Dagampitiya, Ginigathhena",Landslide,2,13
84,Nuwara Eliya,Ambagamuwa Korale,Hitigegama,"Hitigegama, Hatton",Landslide,1,5
85,Nuwara Eliya,Ambagamuwa Korale,Homagama,"Homagama, Kelanigama, Ginigathhena",Landslide,1,4
86,Nuwara Eliya,Ambagamuwa Korale,Homagama,"Homagama, Kelanigama, Ginigathhena",Landslide,1,6
87,Nuwara Eliya,Ambagamuwa Korale,Homagama,"Polwatta, Dagampitiya, Ginigathhena",Landslide,1,4
88,Nuwara Eliya,Ambagamuwa Korale,Homagama,"Nayawala, Kelanigama, Ginigathhena",Landslide,1,3
89,Nuwara Eliya,Ambagamuwa Korale,Homagama,"Kelanigama, Ginigathhena",Landslide,2,9
90,Nuwara Eliya,Ambagamuwa Korale,Kalaweldeniya,"Kalaweldeniya, Ginigathhena",Landslide,1,6
91,Nuwara Eliya,Ambagamuwa Korale,Polpitiya,"Paratalwa, Polpitiya, Pitawala",Landslide,1,5
92,Nuwara Eliya,Ambagamuwa Korale,Habbakanda,"Habbakanda, Ginigathhena",Landslide,2,14
93,Nuwara Eliya,Ambagamuwa Korale,Morahenagama,"Morahenagama, Pitawala",Landslide,1,4
94,Nuwara Eliya,Ambagamuwa Korale,Waggama,"Waggama, Morahenagama, Hatton",Landslide,1,4
95,Nuwara Eliya,Ambagamuwa Korale,Polpitiya,"Polopitiya, Pitawala",Landslide,3,18
96,Nuwara Eliya,Ambagamuwa Korale,Polpitiya,"Pallewatta, Pitawala",Landslide,1,2
97,Nuwara Eliya,Ambagamuwa Korale,Koththallena,"Koththalhena, Hatton",Landslide,2,10
98,Nuwara Eliya,Ambagamuwa Korale,Ambagamuwa East,"212, Panvilagodella, Abagamuwa",Landslide,1,5
99,Nuwara Eliya,Ambagamuwa Korale,Minuwandeniya,"Minuwandeniya, Hitigegama, Hatton",Landslide,1,4
100,Nuwara Eliya,Ambagamuwa Korale,Polpitiya,"Polopitiya, Pitawala",Landslide,1,6
101,Nuwara Eliya,Ambagamuwa Korale,Kehelwarawa,"Galgodahinna, Morathotiyawatta, Morahenagama, Hatton",Landslide,1,5
102,Nuwara Eliya,Ambagamuwa Korale,Sellipigama,"No 19, Abagamuwa, Udubulathgama",Landslide,1,4
103,Nuwara Eliya,Ambagamuwa Korale,Sellipigama,C Collany,Landslide,1,1
104,Nuwara Eliya,Ambagamuwa Korale,Ginigathhena,"Kadawala Watta, Watawala",Landslide,4,21
105,Nuwara Eliya,Ambagamuwa Korale,Widulipura North,"Taplo Janapadaya, Widulipura",Landslide,1,6
106,Nuwara Eliya,Ambagamuwa Korale,Ambagamuwa North,"Pallegedara, Ambagamuwa, Udubulathgama",Landslide,1,5
107,Nuwara Eliya,Ambagamuwa Korale,Ambagamuwa North,"Coolborn Road, Ambagamuwa, Udubulathgama",Landslide,1,4
108,Nuwara Eliya,Ambagamuwa Korale,Jambuthenna,"Wattegedara, Koththelhena, Hatton",Landslide,1,8
109,Nuwara Eliya,Ambagamuwa Korale,Morahenagama,"Morahenagama, Pitawala",Landslide,1,5
110,Nuwara Eliya,Ambagamuwa Korale,Waggama,"Waggama, Morahenagama, Hatton",Landslide,1,6
111,Nuwara Eliya,Ambagamuwa Korale,Dagampitiya,"Dagampitiya, Kelanigama",Landslide,2,12
112,Nuwara Eliya,Ambagamuwa Korale,Polpitiya,"Polpitiya, Pitawala",Landslide,1,3
113,Nuwara Eliya,Ambagamuwa Korale,Gonawala,"Thennakoon House, Gonawala, Ginigathhena",Landslide,1,7
114,Nuwara Eliya,Ambagamuwa Korale,Polpitiya,"Polopitiya, Pitawala",Landslide,1,4
115,Nuwara Eliya,Ambagamuwa Korale,Polpitiya,"Wellethenna, pitawala",Landslide,1,5
116,Nuwara Eliya,Ambagamuwa Korale,Morahenagama,"Morahenagama, Pitawala",Landslide,1,2
117,Nuwara Eliya,Ambagamuwa Korale,Widulipura North,"Taplo Janapadaya, Widulipura",Landslide,1,4
118,Nuwara Eliya,Ambagamuwa Korale,Jambuthenna,"Muruthathenna, Koththallena, Hatton",Landslide,1,5
119,Nuwara Eliya,Ambagamuwa Korale,Waggama,"Waggama, Morahenagama, Hatton",Landslide,1,4
120,Nuwara Eliya,Ambagamuwa Korale,Lakshapana,"4 Kanuwa, Lakshapana, Nortonbridge",Landslide,1,5
121,Nuwara Eliya,Ambagamuwa Korale,Ambagamuwa South,"Ambagamuwa Kada weediya, Ambagamuwa, Udubulathgama",Landslide,6,35
122,Nuwara Eliya,Ambagamuwa Korale,Polpitiya,"Polpitiya, Pitawala",Landslide,3,15
123,Nuwara Eliya,Ambagamuwa Korale,Gonawala,"Wedilla, Gonawala, Ginigathhena",Landslide,1,4
124,Nuwara Eliya,Ambagamuwa Korale,Kiriwaneliya,"2 kanuwa, Lakshapana",Landslide,1,3
125,Nuwara Eliya,Ambagamuwa Korale,Widulipura South,"Babaragala, Norton Bridge",Landslide,11,51
126,Nuwara Eliya,Ambagamuwa Korale,Widulipura South,Wimalasurendragama,Landslide,1,5
127,Nuwara Eliya,Ambagamuwa Korale,Habbakanda,"Habbakanda, Ginigathhena",Landslide,1,6
128,Nuwara Eliya,Ambagamuwa Korale,Hagarapitiya,"Hagarapitiya, Hatton",Landslide,1,5
129,Nuwara Eliya,Ambagamuwa Korale,Watawala,"Diyagala, Watawala",Landslide,1,4
130,Nuwara Eliya,Ambagamuwa Korale,Widulipura South,"Hatton Road, Nortonbridge",Landslide,1,5
131,Nuwara Eliya,Ambagamuwa Korale,Ambagamuwa East,"Panvilagodella, Abagamuwa",Landslide,2,9
132,Nuwara Eliya,Ambagamuwa Korale,Ambagamuwa East,"Racepitiya, Abagamuwa",Landslide,1,3
133,Nuwara Eliya,Ambagamuwa Korale,Morahenagama,"Morahenagama, Pitawala",Landslide,1,5
134,Nuwara Eliya,Ambagamuwa Korale,Pitawala,"Pitawala, Nawalapitiya",Landslide,2,9
135,Nuwara Eliya,Ambagamuwa Korale,Homagama,"Arsalena Janapadaya, Kalaweldeniya, Ginigathhena",Landslide,1,4
136,Nuwara Eliya,Ambagamuwa Korale,Waggama,"Waggama, Morahenagama, Hatton",Landslide,1,5
137,Nuwara Eliya,Ambagamuwa Korale,Kalaweldeniya,"Aberdine 2, Widulipura",Landslide,2,10
138,Nuwara Eliya,Ambagamuwa Korale,Koththallena,"Denihena, Koththelhena, Hatton",Landslide,1,4
139,Nuwara Eliya,Ambagamuwa Korale,Sellipigama,"Nagolla, Agaraoya, Abagamuwa",Landslide,4,17
140,Nuwara Eliya,Ambagamuwa Korale,Sellipigama,"Abagamuwa, Udubulathgama",Landslide,2,8
141,Nuwara Eliya,Ambagamuwa Korale,Sellipigama,"Agaraoya, Abagamuwa, Udubulathgama",Landslide,1,5
142,Nuwara Eliya,Ambagamuwa Korale,Watawala,"Templestore Janapadaya, Watawala",Landslide,1,4
143,Nuwara Eliya,Ambagamuwa Korale,Watawala,"Gnananadagama, Watawala",Landslide,3,17
144,Nuwara Eliya,Ambagamuwa Korale,Watawala,"Samanpura Janapadaya, Watawala",Landslide,1,5
145,Nuwara Eliya,Ambagamuwa Korale,Waggama,"Udabage, Lakshapana",Landslide,1,7
146,Nuwara Eliya,Ambagamuwa Korale,Morahenagama,"Morahenagama, Pitawala",Landslide,2,9
147,Nuwara Eliya,Ambagamuwa Korale,Ambagamuwa East,"Ambalanowita, Abagamuwa",Landslide,2,11
148,Nuwara Eliya,Ambagamuwa Korale,Habbakanda,"No 82, Horakada, Ginigathhena",Landslide,1,4
149,Nuwara Eliya,Ambagamuwa Korale,Thiniyagala,"Hiriyapitiya, Ginigathhena",Landslide,1,4
150,Nuwara Eliya,Ambagamuwa Korale,Thiniyagala,"Thiniyagala, Ginigathhena",Landslide,1,3
151,Nuwara Eliya,Ambagamuwa Korale,Minuwandeniya,"Pitakanda, Hitigegama, Hatton",Landslide,7,42
