id,district,ds_division,gn_division,address,disaster_type,affected_families,affected_people
248,Nuwara Eliya,Ambagamuwa Korale,315 Thiniyagala,"Wagurawatta, Ginigathhena",Landslide,2,9
249,Nuwara Eliya,Ambagamuwa Korale,315 Thiniyagala,"Alagala, Ginigathhena",Landslide,1,5
250,Nuwara Eliya,Ambagamuwa Korale,315 Thiniyagala,"148/1 Alagala, Ginigathhena",Landslide,1,4
251,Nuwara Eliya,Ambagamuwa Korale,315 Thiniyagala,"Thiniyagala, Ginigathhena",Landslide,2,11
252,Nuwara Eliya,Ambagamuwa Korale,315 Thiniyagala,"Nawalapitiya Road, Ginigathhena",Landslide,1,5
253,Nuwara Eliya,Ambagamuwa Korale,315 Thiniyagala,"Peragahamula, Ginigathhena",Landslide,1,4
254,Nuwara Eliya,Ambagamuwa Korale,315 Thiniyagala,"Kadurusima, Peragahamula",Landslide,2,11
255,Nuwara Eliya,Ambagamuwa Korale,315 Thiniyagala,"Peragahamula, Ginigathhena",Landslide,1,6
256,Nuwara Eliya,Ambagamuwa Korale,315 Thiniyagala,"Pawalamale, Ginigathhena",Landslide,1,7
257,Nuwara Eliya,Ambagamuwa Korale,315 Thiniyagala,Ginigathhena,Landslide,2,12
