lat,lng,elevation,avg_rainfall,rainfall_7d,dist_to_river_km,label
6.936418825,79.95721616,7.0,10.556010928961745,67.6,1.3004851058166633,1
6.933356197,79.96889867,6.0,10.556010928961745,67.6,0.7506010195401944,1
6.930697044,79.97628212,13.0,10.556010928961745,67.6,0.7063148635552456,1
6.93078197,79.98522276,17.0,10.556010928961745,67.6,0.6487468656640014,1
6.935271877,79.99756881,16.0,10.556010928961745,67.6,0.870120498304762,1
6.939299641,80.00611319,14.0,10.556010928961745,67.6,1.19258611250562,1
6.933944564,80.01282884,16.0,10.556010928961745,67.6,1.2064548931475703,1
6.919219581,80.01787205,15.0,10.556010928961745,67.6,1.9599936798599364,1
6.923638625,80.00217552,23.0,10.556010928961745,67.6,0.6048286115965096,1
6.921059689,79.99357776,8.0,10.556010928961745,67.6,1.1170728966077066,1
6.920401156,79.97990993,8.0,10.556010928961745,67.6,1.691965197510849,1
6.924697644,79.96122729,30.0,10.556010928961745,67.6,1.8961834151049797,1
6.913103431,79.95569221,18.0,10.556010928961745,67.6,3.322854602867188,1
6.912208331,79.96866368,25.0,10.556010928961745,67.6,2.9262875473391183,1
6.902882515,79.98650766,15.0,10.556010928961745,67.6,3.1454010058522925,1
6.907324496,80.00121124,16.0,10.556010928961745,67.6,2.419206895687878,1
6.903982929,80.01331266,25.0,10.556010928961745,67.6,3.001521155036933,1
6.906492194,80.02712134,20.0,10.751639344262298,58.5,3.646202360119517,1
6.916541716,80.03231218,10.0,10.751639344262298,58.5,3.509539775089781,1
6.897489515,80.02548469,59.0,10.751639344262298,58.5,4.2874626948300865,1
6.891057061,80.02954413,22.0,10.751639344262298,58.5,5.130458006881465,1
6.884546863,80.03092798,19.0,10.744262295081963,65.0,5.819733850724925,1
6.892600466,79.99741562,21.0,10.556010928961745,67.6,4.095794505470206,1
6.886277103,79.98473361,25.0,10.689344262295073,59.4,5.000351728622169,1
6.903090918,79.97361032,29.0,10.556010928961745,67.6,3.635998726384957,1
6.901557717,79.96113732,16.0,10.556010928961745,67.6,4.352198609347575,1
6.905866226,79.95174268,23.0,10.556010928961745,67.6,4.237083958930884,1
6.912750148,79.94812311,19.0,10.556010928961745,67.6,3.789152861422431,1
6.90765018,79.94160754,8.0,9.018032786885243,32.6,4.679438007430979,1
6.911310012,79.93166233,21.0,9.018032786885243,32.6,5.0059162030913384,1
6.917653634,79.92330019,24.0,9.018032786885243,32.6,4.763780397006744,1
6.913542092,79.91360514,10.0,9.018032786885243,32.6,5.722082034387675,1
6.911125464,79.90645989,12.0,9.018032786885243,32.6,6.419256903122375,1
6.905437274,79.91491625,10.0,9.018032786885243,32.6,6.4013116977658795,1
6.8925079868640795,79.87329732359605,8.0,9.018032786885243,32.6,10.463633655445426,0
6.981672543001277,80.07935056460231,19.0,10.43825136612022,57.8,10.253646764260992,0
6.947824958974485,80.03087313958618,6.0,10.751639344262298,58.5,3.7120955628583814,0
6.92719092650276,79.9013402817334,5.0,9.018032786885243,32.6,5.642520772289654,0
6.8586911810282505,79.85770707279801,0.0,9.29945355191256,42.9,14.350195934204118,0
6.858687448374805,80.0406337210232,23.0,10.744262295081963,65.0,8.84844645879429,0
6.843535463339303,80.0161052398113,34.0,10.689344262295073,59.4,9.611057951178523,0
6.968590027796004,80.02110782832847,10.0,10.43825136612022,57.8,4.830143979123043,0
6.927571080964764,80.03065306400812,9.0,10.751639344262298,58.5,3.0455365873105587,0
6.944123061439559,79.87318304415639,10.0,9.018032786885243,32.6,7.903914993554215,0
6.837732370676001,79.93742019567824,9.0,9.29945355191256,42.9,11.891789218333708,0
6.984643107031638,79.88262918243389,4.0,8.78743169398907,37.0,7.508621591572864,0
6.963369674189521,80.05139377524085,24.0,10.43825136612022,57.8,6.559041448055997,0
6.8674069302555125,79.99723319929672,28.0,10.689344262295073,59.4,6.879389435389114,0
6.862684781785058,79.93119396666944,14.0,9.29945355191256,42.9,9.547316057906633,0
6.862929220397547,79.87081468896072,9.0,9.29945355191256,42.9,13.060802445224711,0
6.881629195282939,79.926695959509,2.0,9.29945355191256,42.9,7.979241799550007,0
6.915754378568455,79.92990328794954,9.0,9.018032786885243,32.6,4.660788842938515,0
6.901391554578129,80.0212431161758,11.0,10.751639344262298,58.5,3.665432716992749,0
6.879615381480198,80.00045370491219,18.0,10.689344262295073,59.4,5.499083492120332,0
6.929232798185629,80.05683891962805,23.0,10.751639344262298,58.5,5.931907661062871,0
6.856133925449848,79.96311071222,28.0,10.689344262295073,59.4,8.858780121607113,0
6.879757058938658,79.88347052431598,6.0,9.29945355191256,42.9,10.726412316904725,0
6.891242376002899,80.01754785852488,10.0,10.689344262295073,59.4,4.491170179056563,0
6.95605502424439,79.98322563039585,22.0,10.556010928961745,67.6,2.232476961808641,0
6.8654469354827725,80.03058459310758,17.0,10.744262295081963,65.0,7.690558895818788,0
6.926224663259073,79.9745202965741,11.0,10.556010928961745,67.6,1.2392409468210879,0
6.841735193407666,79.9530210080652,24.0,9.29945355191256,42.9,10.758765171477,0
6.928566116591346,79.86220085798494,9.0,9.018032786885243,32.6,9.495256188799344,0
6.860935944856624,79.88082741585781,18.0,9.29945355191256,42.9,12.592634824891702,0
6.8446137777277976,79.86355824356018,5.0,9.29945355191256,42.9,15.170295565802263,0
6.9813895358939755,80.00019463876377,17.0,10.139344262295069,59.50000000000001,5.517902054868674,0
6.9839811026440755,79.92745790820128,17.0,8.78743169398907,37.0,3.669377730465009,0
6.959648598348855,79.97132174522643,19.0,10.139344262295069,59.50000000000001,1.968896643789081,0
